TransactionID,BranchID,City,Date,Amount,Status
CH030000,CH-3,Chennai,2024-01-01,8576,Failed
CH030001,CH-3,Chennai,2024-01-02,5603,Success
CH030002,CH-3,Chennai,2024-01-03,7056,Failed
CH030003,CH-3,Chennai,2024-01-04,1448,Failed
CH030004,CH-3,Chennai,2024-01-05,4276,Failed
CH030005,CH-3,Chennai,2024-01-06,7716,Success
CH030006,CH-3,Chennai,2024-01-07,8976,Success
CH030007,CH-3,Chennai,2024-01-08,5223,Failed
CH030008,CH-3,Chennai,2024-01-09,6404,Success
CH030009,CH-3,Chennai,2024-01-10,4252,Failed
CH030010,CH-3,Chennai,2024-01-11,5664,Success
CH030011,CH-3,Chennai,2024-01-12,7784,Success
CH030012,CH-3,Chennai,2024-01-13,9220,Success
CH030013,CH-3,Chennai,2024-01-14,8891,Success
CH030014,CH-3,Chennai,2024-01-15,4136,Failed
CH030015,CH-3,Chennai,2024-01-16,9415,Success
CH030016,CH-3,Chennai,2024-01-17,2328,Success
CH030017,CH-3,Chennai,2024-01-18,2029,Success
CH030018,CH-3,Chennai,2024-01-19,9511,Failed
CH030019,CH-3,Chennai,2024-01-20,314,Success
CH030020,CH-3,Chennai,2024-01-21,2762,Success
CH030021,CH-3,Chennai,2024-01-22,4187,Success
CH030022,CH-3,Chennai,2024-01-23,5826,Success
CH030023,CH-3,Chennai,2024-01-24,2740,Success
CH030024,CH-3,Chennai,2024-01-25,3632,Failed
CH030025,CH-3,Chennai,2024-01-26,4529,Success
CH030026,CH-3,Chennai,2024-01-27,4254,Success
CH030027,CH-3,Chennai,2024-01-28,8113,Failed
CH030028,CH-3,Chennai,2024-01-29,5351,Success
CH030029,CH-3,Chennai,2024-01-30,9307,Success
CH030030,CH-3,Chennai,2024-01-31,213,Success
CH030031,CH-3,Chennai,2024-02-01,2903,Success
CH030032,CH-3,Chennai,2024-02-02,8808,Failed
CH030033,CH-3,Chennai,2024-02-03,3092,Success
CH030034,CH-3,Chennai,2024-02-04,7391,Failed
CH030035,CH-3,Chennai,2024-02-05,3917,Failed
CH030036,CH-3,Chennai,2024-02-06,5346,Failed
CH030037,CH-3,Chennai,2024-02-07,4845,Success
CH030038,CH-3,Chennai,2024-02-08,6081,Success
CH030039,CH-3,Chennai,2024-02-09,8952,Failed
CH030040,CH-3,Chennai,2024-02-10,5091,Success
CH030041,CH-3,Chennai,2024-02-11,2533,Failed
CH030042,CH-3,Chennai,2024-02-12,9294,Success
CH030043,CH-3,Chennai,2024-02-13,6643,Failed
CH030044,CH-3,Chennai,2024-02-14,2698,Failed
CH030045,CH-3,Chennai,2024-02-15,144,Success
CH030046,CH-3,Chennai,2024-02-16,5841,Success
CH030047,CH-3,Chennai,2024-02-17,5898,Success
CH030048,CH-3,Chennai,2024-02-18,9370,Success
CH030049,CH-3,Chennai,2024-02-19,4511,Failed
CH030050,CH-3,Chennai,2024-02-20,4065,Success
CH030051,CH-3,Chennai,2024-02-21,7245,Success
