TransactionID,BranchID,City,Date,Amount,Status
MU050000,MU-5,Mumbai,2024-01-01,5917,Failed
MU050001,MU-5,Mumbai,2024-01-02,5543,Failed
MU050002,MU-5,Mumbai,2024-01-03,3386,Success
MU050003,MU-5,Mumbai,2024-01-04,7854,Success
MU050004,MU-5,Mumbai,2024-01-05,6601,Failed
MU050005,MU-5,Mumbai,2024-01-06,2637,Failed
MU050006,MU-5,Mumbai,2024-01-07,2388,Failed
MU050007,MU-5,Mumbai,2024-01-08,8730,Success
MU050008,MU-5,Mumbai,2024-01-09,2937,Success
MU050009,MU-5,Mumbai,2024-01-10,9824,Failed
MU050010,MU-5,Mumbai,2024-01-11,5711,Success
MU050011,MU-5,Mumbai,2024-01-12,5884,Success
MU050012,MU-5,Mumbai,2024-01-13,4036,Success
MU050013,MU-5,Mumbai,2024-01-14,9133,Success
MU050014,MU-5,Mumbai,2024-01-15,4028,Success
MU050015,MU-5,Mumbai,2024-01-16,1805,Failed
MU050016,MU-5,Mumbai,2024-01-17,8680,Failed
MU050017,MU-5,Mumbai,2024-01-18,9437,Failed
MU050018,MU-5,Mumbai,2024-01-19,1348,Failed
MU050019,MU-5,Mumbai,2024-01-20,489,Failed
MU050020,MU-5,Mumbai,2024-01-21,719,Success
MU050021,MU-5,Mumbai,2024-01-22,2665,Success
MU050022,MU-5,Mumbai,2024-01-23,9759,Failed
MU050023,MU-5,Mumbai,2024-01-24,2306,Success
MU050024,MU-5,Mumbai,2024-01-25,8731,Success
MU050025,MU-5,Mumbai,2024-01-26,3190,Success
MU050026,MU-5,Mumbai,2024-01-27,2210,Success
MU050027,MU-5,Mumbai,2024-01-28,9071,Failed
MU050028,MU-5,Mumbai,2024-01-29,5086,Failed
MU050029,MU-5,Mumbai,2024-01-30,8343,Success
MU050030,MU-5,Mumbai,2024-01-31,9023,Failed
MU050031,MU-5,Mumbai,2024-02-01,9697,Failed
MU050032,MU-5,Mumbai,2024-02-02,9996,Failed
MU050033,MU-5,Mumbai,2024-02-03,9882,Success
MU050034,MU-5,Mumbai,2024-02-04,6676,Failed
MU050035,MU-5,Mumbai,2024-02-05,2921,Success
MU050036,MU-5,Mumbai,2024-02-06,9766,Success
MU050037,MU-5,Mumbai,2024-02-07,3332,Success
MU050038,MU-5,Mumbai,2024-02-08,1438,Success
MU050039,MU-5,Mumbai,2024-02-09,8601,Success
MU050040,MU-5,Mumbai,2024-02-10,946,Failed
MU050041,MU-5,Mumbai,2024-02-11,539,Success
MU050042,MU-5,Mumbai,2024-02-12,7374,Failed
MU050043,MU-5,Mumbai,2024-02-13,313,Success
MU050044,MU-5,Mumbai,2024-02-14,2529,Success
MU050045,MU-5,Mumbai,2024-02-15,7780,Success
MU050046,MU-5,Mumbai,2024-02-16,9588,Failed
MU050047,MU-5,Mumbai,2024-02-17,6107,Success
MU050048,MU-5,Mumbai,2024-02-18,4611,Success
MU050049,MU-5,Mumbai,2024-02-19,673,Failed
MU050050,MU-5,Mumbai,2024-02-20,1690,Success
MU050051,MU-5,Mumbai,2024-02-21,3754,Failed
MU050052,MU-5,Mumbai,2024-02-22,1397,Success
MU050053,MU-5,Mumbai,2024-02-23,2717,Failed
MU050054,MU-5,Mumbai,2024-02-24,4103,Success
MU050055,MU-5,Mumbai,2024-02-25,6319,Success
MU050056,MU-5,Mumbai,2024-02-26,4580,Success
MU050057,MU-5,Mumbai,2024-02-27,5679,Failed
MU050058,MU-5,Mumbai,2024-02-28,2535,Success
MU050059,MU-5,Mumbai,2024-02-29,4496,Failed
MU050060,MU-5,Mumbai,2024-03-01,4400,Success
MU050061,MU-5,Mumbai,2024-03-02,9737,Failed
MU050062,MU-5,Mumbai,2024-03-03,1202,Success
MU050063,MU-5,Mumbai,2024-03-04,4031,Success
MU050064,MU-5,Mumbai,2024-03-05,1774,Success
MU050065,MU-5,Mumbai,2024-03-06,9255,Success
MU050066,MU-5,Mumbai,2024-03-07,8183,Success
MU050067,MU-5,Mumbai,2024-03-08,2445,Success
MU050068,MU-5,Mumbai,2024-03-09,6090,Failed
MU050069,MU-5,Mumbai,2024-03-10,8790,Failed
MU050070,MU-5,Mumbai,2024-03-11,5102,Failed
MU050071,MU-5,Mumbai,2024-03-12,1028,Success
MU050072,MU-5,Mumbai,2024-03-13,4804,Success
MU050073,MU-5,Mumbai,2024-03-14,1056,Success
MU050074,MU-5,Mumbai,2024-03-15,858,Failed
MU050075,MU-5,Mumbai,2024-03-16,8170,Failed
MU050076,MU-5,Mumbai,2024-03-17,7593,Failed
MU050077,MU-5,Mumbai,2024-03-18,6300,Failed
MU050078,MU-5,Mumbai,2024-03-19,6725,Failed
MU050079,MU-5,Mumbai,2024-03-20,7988,Failed
MU050080,MU-5,Mumbai,2024-03-21,2530,Success
MU050081,MU-5,Mumbai,2024-03-22,6530,Failed
