TransactionID,BranchID,City,Date,Amount,Status
CH050000,CH-5,Chennai,2024-01-01,4394,Failed
CH050001,CH-5,Chennai,2024-01-02,9896,Failed
CH050002,CH-5,Chennai,2024-01-03,8783,Success
CH050003,CH-5,Chennai,2024-01-04,7209,Success
CH050004,CH-5,Chennai,2024-01-05,8426,Success
CH050005,CH-5,Chennai,2024-01-06,4707,Failed
CH050006,CH-5,Chennai,2024-01-07,5265,Failed
CH050007,CH-5,Chennai,2024-01-08,4092,Success
CH050008,CH-5,Chennai,2024-01-09,9986,Success
CH050009,CH-5,Chennai,2024-01-10,5479,Failed
CH050010,CH-5,Chennai,2024-01-11,3379,Success
CH050011,CH-5,Chennai,2024-01-12,4753,Success
CH050012,CH-5,Chennai,2024-01-13,6316,Success
CH050013,CH-5,Chennai,2024-01-14,4130,Success
CH050014,CH-5,Chennai,2024-01-15,2818,Success
CH050015,CH-5,Chennai,2024-01-16,3973,Success
CH050016,CH-5,Chennai,2024-01-17,3537,Failed
CH050017,CH-5,Chennai,2024-01-18,8968,Success
CH050018,CH-5,Chennai,2024-01-19,8607,Success
CH050019,CH-5,Chennai,2024-01-20,2745,Failed
CH050020,CH-5,Chennai,2024-01-21,9736,Success
CH050021,CH-5,Chennai,2024-01-22,8015,Success
CH050022,CH-5,Chennai,2024-01-23,5532,Failed
CH050023,CH-5,Chennai,2024-01-24,6245,Success
CH050024,CH-5,Chennai,2024-01-25,1101,Success
CH050025,CH-5,Chennai,2024-01-26,2691,Failed
CH050026,CH-5,Chennai,2024-01-27,874,Success
CH050027,CH-5,Chennai,2024-01-28,7534,Success
CH050028,CH-5,Chennai,2024-01-29,4230,Failed
CH050029,CH-5,Chennai,2024-01-30,8856,Failed
CH050030,CH-5,Chennai,2024-01-31,6547,Failed
CH050031,CH-5,Chennai,2024-02-01,6456,Failed
CH050032,CH-5,Chennai,2024-02-02,3123,Failed
CH050033,CH-5,Chennai,2024-02-03,5791,Failed
CH050034,CH-5,Chennai,2024-02-04,2948,Success
CH050035,CH-5,Chennai,2024-02-05,8019,Success
CH050036,CH-5,Chennai,2024-02-06,6303,Success
CH050037,CH-5,Chennai,2024-02-07,6729,Success
CH050038,CH-5,Chennai,2024-02-08,9205,Success
CH050039,CH-5,Chennai,2024-02-09,8115,Failed
CH050040,CH-5,Chennai,2024-02-10,1940,Success
CH050041,CH-5,Chennai,2024-02-11,2691,Failed
CH050042,CH-5,Chennai,2024-02-12,1763,Failed
CH050043,CH-5,Chennai,2024-02-13,6102,Failed
CH050044,CH-5,Chennai,2024-02-14,6286,Success
CH050045,CH-5,Chennai,2024-02-15,6290,Success
CH050046,CH-5,Chennai,2024-02-16,2160,Failed
CH050047,CH-5,Chennai,2024-02-17,145,Success
CH050048,CH-5,Chennai,2024-02-18,3536,Failed
CH050049,CH-5,Chennai,2024-02-19,8076,Failed
CH050050,CH-5,Chennai,2024-02-20,757,Failed
CH050051,CH-5,Chennai,2024-02-21,4270,Failed
CH050052,CH-5,Chennai,2024-02-22,3427,Failed
CH050053,CH-5,Chennai,2024-02-23,9704,Success
CH050054,CH-5,Chennai,2024-02-24,8754,Success
CH050055,CH-5,Chennai,2024-02-25,4227,Success
CH050056,CH-5,Chennai,2024-02-26,4765,Success
CH050057,CH-5,Chennai,2024-02-27,127,Success
CH050058,CH-5,Chennai,2024-02-28,5711,Success
CH050059,CH-5,Chennai,2024-02-29,5552,Failed
CH050060,CH-5,Chennai,2024-03-01,7601,Failed
CH050061,CH-5,Chennai,2024-03-02,6313,Success
CH050062,CH-5,Chennai,2024-03-03,8525,Failed
CH050063,CH-5,Chennai,2024-03-04,658,Success
CH050064,CH-5,Chennai,2024-03-05,4986,Failed
CH050065,CH-5,Chennai,2024-03-06,2657,Success
CH050066,CH-5,Chennai,2024-03-07,6085,Failed
CH050067,CH-5,Chennai,2024-03-08,9576,Success
CH050068,CH-5,Chennai,2024-03-09,1339,Success
CH050069,CH-5,Chennai,2024-03-10,1282,Success
CH050070,CH-5,Chennai,2024-03-11,993,Success
CH050071,CH-5,Chennai,2024-03-12,3043,Failed
CH050072,CH-5,Chennai,2024-03-13,5717,Success
CH050073,CH-5,Chennai,2024-03-14,882,Failed
CH050074,CH-5,Chennai,2024-03-15,6304,Failed
CH050075,CH-5,Chennai,2024-03-16,3462,Failed
CH050076,CH-5,Chennai,2024-03-17,1477,Success
CH050077,CH-5,Chennai,2024-03-18,733,Failed
CH050078,CH-5,Chennai,2024-03-19,1380,Failed
CH050079,CH-5,Chennai,2024-03-20,5291,Success
CH050080,CH-5,Chennai,2024-03-21,9295,Success
CH050081,CH-5,Chennai,2024-03-22,2339,Success
CH050082,CH-5,Chennai,2024-03-23,6603,Failed
CH050083,CH-5,Chennai,2024-03-24,5117,Success
CH050084,CH-5,Chennai,2024-03-25,2958,Failed
CH050085,CH-5,Chennai,2024-03-26,8219,Failed
CH050086,CH-5,Chennai,2024-03-27,8634,Failed
CH050087,CH-5,Chennai,2024-03-28,605,Failed
CH050088,CH-5,Chennai,2024-03-29,9877,Success
CH050089,CH-5,Chennai,2024-03-30,6790,Failed
CH050090,CH-5,Chennai,2024-03-31,6753,Success
CH050091,CH-5,Chennai,2024-04-01,7828,Success
CH050092,CH-5,Chennai,2024-04-02,8492,Success
CH050093,CH-5,Chennai,2024-04-03,6837,Success
CH050094,CH-5,Chennai,2024-04-04,1023,Failed
CH050095,CH-5,Chennai,2024-04-05,620,Failed
