TransactionID,BranchID,City,Date,Amount,Status
CH050000,CH-5,Chennai,2024-01-01,4394,Failed
CH050001,CH-5,Chennai,2024-01-02,9896,Failed
CH050005,CH-5,Chennai,2024-01-06,4707,Failed
CH050006,CH-5,Chennai,2024-01-07,5265,Failed
CH050009,CH-5,Chennai,2024-01-10,5479,Failed
CH050016,CH-5,Chennai,2024-01-17,3537,Failed
CH050019,CH-5,Chennai,2024-01-20,2745,Failed
CH050022,CH-5,Chennai,2024-01-23,5532,Failed
CH050025,CH-5,Chennai,2024-01-26,2691,Failed
CH050028,CH-5,Chennai,2024-01-29,4230,Failed
CH050029,CH-5,Chennai,2024-01-30,8856,Failed
CH050030,CH-5,Chennai,2024-01-31,6547,Failed
CH050031,CH-5,Chennai,2024-02-01,6456,Failed
CH050032,CH-5,Chennai,2024-02-02,3123,Failed
CH050033,CH-5,Chennai,2024-02-03,5791,Failed
CH050039,CH-5,Chennai,2024-02-09,8115,Failed
CH050041,CH-5,Chennai,2024-02-11,2691,Failed
CH050042,CH-5,Chennai,2024-02-12,1763,Failed
CH050043,CH-5,Chennai,2024-02-13,6102,Failed
CH050046,CH-5,Chennai,2024-02-16,2160,Failed
CH050048,CH-5,Chennai,2024-02-18,3536,Failed
CH050049,CH-5,Chennai,2024-02-19,8076,Failed
CH050050,CH-5,Chennai,2024-02-20,757,Failed
CH050051,CH-5,Chennai,2024-02-21,4270,Failed
CH050052,CH-5,Chennai,2024-02-22,3427,Failed
CH050059,CH-5,Chennai,2024-02-29,5552,Failed
CH050060,CH-5,Chennai,2024-03-01,7601,Failed
CH050062,CH-5,Chennai,2024-03-03,8525,Failed
CH050064,CH-5,Chennai,2024-03-05,4986,Failed
CH050066,CH-5,Chennai,2024-03-07,6085,Failed
CH050071,CH-5,Chennai,2024-03-12,3043,Failed
CH050073,CH-5,Chennai,2024-03-14,882,Failed
CH050074,CH-5,Chennai,2024-03-15,6304,Failed
CH050075,CH-5,Chennai,2024-03-16,3462,Failed
CH050077,CH-5,Chennai,2024-03-18,733,Failed
CH050078,CH-5,Chennai,2024-03-19,1380,Failed
CH050082,CH-5,Chennai,2024-03-23,6603,Failed
CH050084,CH-5,Chennai,2024-03-25,2958,Failed
CH050085,CH-5,Chennai,2024-03-26,8219,Failed
CH050086,CH-5,Chennai,2024-03-27,8634,Failed
CH050087,CH-5,Chennai,2024-03-28,605,Failed
CH050089,CH-5,Chennai,2024-03-30,6790,Failed
CH050094,CH-5,Chennai,2024-04-04,1023,Failed
CH050095,CH-5,Chennai,2024-04-05,620,Failed
CH050098,CH-5,Chennai,2024-04-08,7877,Failed
CH050103,CH-5,Chennai,2024-04-13,6229,Failed
CH050104,CH-5,Chennai,2024-04-14,6913,Failed
CH050106,CH-5,Chennai,2024-04-16,5576,Failed
CH050109,CH-5,Chennai,2024-04-19,4420,Failed
CH050110,CH-5,Chennai,2024-04-20,5464,Failed
CH050113,CH-5,Chennai,2024-04-23,683,Failed
CH050114,CH-5,Chennai,2024-04-24,5685,Failed
CH050123,CH-5,Chennai,2024-05-03,7985,Failed
CH050124,CH-5,Chennai,2024-05-04,107,Failed
CH050130,CH-5,Chennai,2024-05-10,9630,Failed
CH050131,CH-5,Chennai,2024-05-11,8576,Failed
CH050132,CH-5,Chennai,2024-05-12,9032,Failed
CH050133,CH-5,Chennai,2024-05-13,3024,Failed
CH050135,CH-5,Chennai,2024-05-15,2428,Failed
CH050137,CH-5,Chennai,2024-05-17,3014,Failed
CH050139,CH-5,Chennai,2024-05-19,6678,Failed
CH050141,CH-5,Chennai,2024-05-21,6731,Failed
CH050142,CH-5,Chennai,2024-05-22,6104,Failed
CH050147,CH-5,Chennai,2024-05-27,4498,Failed
CH050149,CH-5,Chennai,2024-05-29,3908,Failed
CH050152,CH-5,Chennai,2024-06-01,1736,Failed
CH050154,CH-5,Chennai,2024-06-03,9753,Failed
CH050156,CH-5,Chennai,2024-06-05,1678,Failed
CH050157,CH-5,Chennai,2024-06-06,6159,Failed
CH050159,CH-5,Chennai,2024-06-08,9639,Failed
CH050161,CH-5,Chennai,2024-06-10,3250,Failed
CH050162,CH-5,Chennai,2024-06-11,3281,Failed
CH050165,CH-5,Chennai,2024-06-14,8113,Failed
CH050166,CH-5,Chennai,2024-06-15,1254,Failed
CH050167,CH-5,Chennai,2024-06-16,1204,Failed
CH050169,CH-5,Chennai,2024-06-18,2864,Failed
CH050177,CH-5,Chennai,2024-06-26,3315,Failed
CH050180,CH-5,Chennai,2024-06-29,890,Failed
CH050181,CH-5,Chennai,2024-06-30,2351,Failed
CH050182,CH-5,Chennai,2024-07-01,8360,Failed
CH050186,CH-5,Chennai,2024-07-05,4615,Failed
CH050187,CH-5,Chennai,2024-07-06,2711,Failed
CH050188,CH-5,Chennai,2024-07-07,8399,Failed
CH050189,CH-5,Chennai,2024-07-08,6687,Failed
CH050194,CH-5,Chennai,2024-07-13,8433,Failed
CH050196,CH-5,Chennai,2024-07-15,651,Failed
CH050198,CH-5,Chennai,2024-07-17,6525,Failed
CH050199,CH-5,Chennai,2024-07-18,7180,Failed
CH030000,CH-3,Chennai,2024-01-01,8576,Failed
CH030002,CH-3,Chennai,2024-01-03,7056,Failed
CH030003,CH-3,Chennai,2024-01-04,1448,Failed
CH030004,CH-3,Chennai,2024-01-05,4276,Failed
CH030007,CH-3,Chennai,2024-01-08,5223,Failed
CH030009,CH-3,Chennai,2024-01-10,4252,Failed
